"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"197","National","National",2001,27,0,0,0,0,0,0,0,0,0,0,0,2001-07-01
"198","National","National",2001,28,0,0,0,0,0,0,0,0,0,0,0,2001-07-08
"199","National","National",2001,29,0,0,0,0,0,0,0,0,0,0,0,2001-07-15
"200","National","National",2001,30,0,0,0,0,0,0,0,0,0,0,0,2001-07-22
"201","National","National",2001,31,0,0,0,0,0,0,0,0,0,0,0,2001-07-29
"202","National","National",2001,32,0,0,0,0,0,0,0,0,0,0,0,2001-08-05
"203","National","National",2001,33,0,0,0,0,0,0,0,0,0,0,0,2001-08-12
"204","National","National",2001,34,0,0,0,0,0,0,0,0,0,0,0,2001-08-19
"205","National","National",2001,35,0,0,0,0,0,0,0,0,0,0,0,2001-08-26
"206","National","National",2001,36,0,0,0,0,0,0,0,0,0,0,0,2001-09-02
"207","National","National",2001,37,0,0,0,0,0,0,0,0,0,0,0,2001-09-09
"208","National","National",2001,38,0,0,0,0,0,0,0,0,0,0,0,2001-09-16
"209","National","National",2001,39,0,0,0,0,0,0,0,0,0,0,0,2001-09-23
"210","National","National",2001,40,1.41046,0.997404,429,NA,372,485,NA,82,1368,607,137156,2001-09-30
"211","National","National",2001,41,1.77019,1.09692,479,NA,526,628,NA,114,1747,646,159264,2001-10-07
"212","National","National",2001,42,1.61904,1.1679,562,NA,560,697,NA,113,1932,690,165425,2001-10-14
"213","National","National",2001,43,1.77065,1.26256,567,NA,643,876,NA,118,2204,710,174566,2001-10-21
"214","National","National",2001,44,1.93891,1.30014,655,NA,665,883,NA,168,2371,746,182365,2001-10-28
"215","National","National",2001,45,1.63439,1.21838,626,NA,687,865,NA,149,2327,758,190992,2001-11-04
"216","National","National",2001,46,1.90363,1.33993,693,NA,811,862,NA,142,2508,770,187174,2001-11-11
"217","National","National",2001,47,1.80556,1.47679,602,NA,698,643,NA,147,2090,764,141523,2001-11-18
"218","National","National",2001,48,1.75506,1.41042,638,NA,877,866,NA,185,2566,728,181932,2001-11-25
"219","National","National",2001,49,1.53023,1.26322,602,NA,676,848,NA,149,2275,762,180095,2001-12-02
"220","National","National",2001,50,1.46161,1.26864,666,NA,570,780,NA,153,2169,756,170971,2001-12-09
"221","National","National",2001,51,1.96048,1.53452,707,NA,684,725,NA,162,2278,696,148450,2001-12-16
"222","National","National",2001,52,2.20435,2.12774,719,NA,718,656,NA,172,2265,691,106451,2001-12-23
"223","National","National",2002,1,2.1348,1.94142,785,NA,808,752,NA,223,2568,728,132274,2001-12-30
"224","National","National",2002,2,1.89441,1.67397,837,NA,869,969,NA,200,2875,742,171747,2002-01-06
"225","National","National",2002,3,2.83109,2.06831,1067,NA,948,1533,NA,195,3743,749,180969,2002-01-13
"226","National","National",2002,4,3.30481,2.87301,1460,NA,1156,2004,NA,177,4797,728,166968,2002-01-20
"227","National","National",2002,5,3.61063,2.94909,1556,NA,1415,2351,NA,235,5557,729,188431,2002-01-27
"228","National","National",2002,6,3.42799,2.92857,1542,NA,1478,2330,NA,274,5624,728,192039,2002-02-03
"229","National","National",2002,7,3.76715,3.16382,1557,NA,1573,2436,NA,358,5924,712,187242,2002-02-10
"230","National","National",2002,8,3.60018,3.12121,1509,NA,1544,2359,NA,348,5760,708,184544,2002-02-17
"231","National","National",2002,9,3.20024,2.73515,1208,NA,1529,1997,NA,370,5104,707,186608,2002-02-24
"232","National","National",2002,10,2.92633,2.15302,848,NA,1007,1558,NA,218,3631,674,168647,2002-03-03
"233","National","National",2002,11,2.85857,1.92136,731,NA,832,1252,NA,162,2977,652,154942,2002-03-10
"234","National","National",2002,12,2.34745,1.62731,567,NA,607,1092,NA,151,2417,617,148527,2002-03-17
"235","National","National",2002,13,2.23498,1.46179,547,NA,488,913,NA,131,2079,582,142223,2002-03-24
"236","National","National",2002,14,1.99355,1.1937,397,NA,449,692,NA,117,1655,575,138645,2002-03-31
"237","National","National",2002,15,1.37168,0.895415,327,NA,292,467,NA,83,1169,551,130554,2002-04-07
"238","National","National",2002,16,1.27033,0.817901,247,NA,262,442,NA,67,1018,523,124465,2002-04-14
"239","National","National",2002,17,0.999331,0.705896,235,NA,155,389,NA,51,830,504,117581,2002-04-21
"240","National","National",2002,18,1.172,0.611215,209,NA,147,269,NA,47,672,475,109945,2002-04-28
"241","National","National",2002,19,1.03472,0.630622,169,NA,156,302,NA,46,673,458,106720,2002-05-05
"242","National","National",2002,20,0.703599,0.573579,159,NA,142,236,NA,39,576,449,100422,2002-05-12
